
running 1 test
phase_a	id	profile	width	height	pixels	tokens	literals	copies	caches	blocks	signature_differences	assignment_differences	ordered_groups	exact_groups	ordered_candidate_bytes	exact_candidate_bytes	candidate_byte_delta	ordered_product_bytes	exact_product_bytes	product_byte_delta	ordered_candidate_ns	exact_candidate_ns	ordered_product_ns	exact_product_ns	ordered_plan_ns	initialization_ns	update_ns	signature_cluster_ns	merge_ns	update_count	merge_updates	storage_bytes
phase_a	clic-validation-043	compact	1518	2024	3072432	3061802	3057913	3889	0	192	138	176	37	26	7924562	7962694	38132	7924562	7962694	38132	80740750	41090084	98500167	58957791	38912291	3916	8521083	384042	113750	12239430	54991	402816
phase_a	clic-validation-043	low-latency	1518	2024	3072432	3061802	3057913	3889	0	48	39	44	16	15	8110152	8105494	-4658	8110152	8105494	-4658	78048750	37817917	96553250	56522375	39198042	1917	8417459	96459	34709	12239430	18277	201408
phase_a	clic-validation-044	compact	2024	1518	3072432	3044179	3037259	6920	0	192	127	139	43	28	7873888	7756656	-117232	7873888	7756656	-117232	76641083	40478542	93135291	58796625	34173625	3750	8606875	416958	119791	12162876	51678	402816
phase_a	clic-validation-044	low-latency	2024	1518	3072432	3044179	3037259	6920	0	48	39	42	16	16	8131272	7815340	-315932	8131272	7815340	-315932	72855083	38152041	91176792	56380458	34126125	1958	8265584	96334	34916	12162876	17571	201408
phase_a	clic-validation-045	compact	1518	2024	3072432	3056611	3052706	3905	0	192	90	125	30	25	7900172	7806878	-93294	7900172	7806878	-93294	79508083	39642834	98106875	57598834	39681625	4000	8620792	395625	108958	12218634	35121	402816
phase_a	clic-validation-045	low-latency	1518	2024	3072432	3056611	3052706	3905	0	48	30	32	12	11	8110572	7948892	-161680	8110572	7948892	-161680	78279958	37678916	96319625	55629791	39449542	2083	8396709	94500	31000	12218634	13580	201408
phase_a	clic-validation-046	compact	2024	1518	3072432	3048569	3043029	5540	0	192	121	137	51	30	7848400	8154956	306556	7848400	8154956	306556	76656833	39352083	96487458	58083791	36220667	3916	8435167	393333	112667	12183196	53048	402816
phase_a	clic-validation-046	low-latency	2024	1518	3072432	3048569	3043029	5540	0	48	35	32	16	15	7954172	8156776	202604	7954172	8156776	202604	74822167	36760833	93163208	55290833	35938542	2416	8347333	96291	31542	12183196	17430	201408
phase_a	clic-validation-047	compact	2016	1512	3048192	3019936	3012320	7616	0	192	148	164	52	46	7957054	7959670	2616	7957054	7959670	2616	79778042	40307750	98747375	59238208	38905958	3917	8236167	423875	123167	12064512	57322	402816
phase_a	clic-validation-047	low-latency	2016	1512	3048192	3019936	3012320	7616	0	48	38	40	16	16	8191412	8344202	152790	8191412	8344202	152790	77421834	36287542	96862875	55414708	38855458	2042	8476583	96750	33083	12064512	20175	201408
phase_a	clic-validation-048	compact	2024	1518	3072432	3047721	3038641	9080	0	192	122	178	34	23	7906474	7721080	-185394	7906474	7721080	-185394	74009125	38552166	92027709	56494292	33693667	3875	8411375	380834	117834	12172724	58891	402816
phase_a	clic-validation-048	low-latency	2024	1518	3072432	3047721	3038641	9080	0	48	34	43	16	13	7848440	7732856	-115584	7848440	7732856	-115584	72558417	35946416	90988500	53989334	33784333	2208	8419250	95792	33042	12172724	17887	201408
