
running 1 test
p16	id	profile	rgba_bytes	blocks	counter_init_ns	counter_update_ns	counter_updates	counter_storage_bytes	self_cost_ns	e_proposal_ns	b_proposal_ns	e_cost_ns	b_cost_ns	p15_reassignment_ns	p15_rebuild_ns	refined_cost_ns	selection_ns	e_merge_updates	b_merge_updates	refined_merge_updates	split_merge_updates	retained_plan_bytes	e_bits	e_payload_bytes	e_riff_bytes	e_groups	b_bits	b_payload_bytes	b_riff_bytes	b_groups	refined_bits	refined_payload_bytes	refined_riff_bytes	refined_groups	split_bits	split_payload_bytes	split_riff_bytes	split_groups	single_riff_bytes	control_riff_bytes	initial_kind	selected_kind	final_kind	final_riff_bytes	final_hash	growth_steps	public_exact	eb_selector_exact	final_selector_exact
p16-step	id	profile	iteration	before_groups	resulting_groups	source_group	seed_one	seed_two	regret	seed_penalty	old_partition_blocks	new_partition_blocks	regret_ns	seed_ns	partition_ns	split_rebuild_ns	split_ns	reassignment_ns	rebuild_ns	exact_cost_ns	before_riff_bytes	candidate_riff_bytes	riff_delta	accepted	assignments_stable
p16-step	clic-validation-002	compact	13	34	35	0	82	85	46902	35924	10	5	435583	201125	378583	92958	1108333	1245625	91333	622375	5469090	5448616	-20474	1	0
p16-step	clic-validation-002	compact	14	35	36	30	112	49	46333	17421	11	4	415959	311250	571584	89792	1388667	1271208	93500	619375	5448616	5419312	-29304	1	0
p16-step	clic-validation-002	compact	15	36	37	2	18	6	42269	60072	1	16	426917	224291	407917	88042	1147209	1403792	103958	771417	5419312	5413758	-5554	1	0
p16-step	clic-validation-002	compact	16	37	38	27	132	130	40114	37951	1	6	507458	122084	198041	89792	917458	1341000	89666	653416	5413758	5409326	-4432	1	0
p16-step	clic-validation-002	compact	17	38	39	7	100	127	39416	38732	2	2	472042	74125	100458	89792	736500	1345667	106458	672667	5409326	5405012	-4314	1	0
p16-step	clic-validation-002	compact	18	39	40	0	113	64	37511	23027	5	5	479250	131125	224584	86209	921250	1399334	126916	811792	5405012	5386988	-18024	1	0
p16-step	clic-validation-002	compact	19	40	41	4	27	19	37249	18853	9	3	516125	154625	285208	112625	1068708	1525125	108708	784916	5386988	5370668	-16320	1	0
p16-step	clic-validation-002	compact	20	41	42	14	96	99	35290	39045	1	1	513917	24125	4791	101917	644792	1408833	107625	716416	5370668	5365788	-4880	1	0
p16-step	clic-validation-002	compact	21	42	43	36	2	15	34878	48639	13	3	492334	209334	380084	93334	1175250	1438875	100583	869375	5365788	5360178	-5610	1	0
p16-step	clic-validation-002	compact	22	43	44	36	2	8	34120	24349	6	7	540166	165625	295416	96250	1097541	1447958	94250	749375	5360178	5330652	-29526	1	0
p16-step	clic-validation-002	compact	23	44	45	1	104	134	32580	27328	6	8	492833	262125	471458	93792	1320250	1486791	97792	755958	5330652	5318108	-12544	1	0
p16-step	clic-validation-002	compact	24	45	46	4	29	23	30617	30341	4	5	490333	110750	189791	92458	883458	1534750	105625	850834	5318108	5296504	-21604	1	0
p16-step	clic-validation-002	compact	25	46	47	38	127	111	28704	25112	1	1	513417	28375	4584	95000	641458	1578208	98708	791834	5296504	5293364	-3140	1	0
