
running 1 test
p16	id	profile	rgba_bytes	blocks	counter_init_ns	counter_update_ns	counter_updates	counter_storage_bytes	self_cost_ns	e_proposal_ns	b_proposal_ns	e_cost_ns	b_cost_ns	p15_reassignment_ns	p15_rebuild_ns	refined_cost_ns	selection_ns	e_merge_updates	b_merge_updates	refined_merge_updates	split_merge_updates	retained_plan_bytes	e_bits	e_payload_bytes	e_riff_bytes	e_groups	b_bits	b_payload_bytes	b_riff_bytes	b_groups	refined_bits	refined_payload_bytes	refined_riff_bytes	refined_groups	split_bits	split_payload_bytes	split_riff_bytes	split_groups	single_riff_bytes	control_riff_bytes	initial_kind	selected_kind	final_kind	final_riff_bytes	final_hash	growth_steps	public_exact	eb_selector_exact	final_selector_exact
p16-step	id	profile	iteration	before_groups	resulting_groups	source_group	seed_one	seed_two	regret	seed_penalty	old_partition_blocks	new_partition_blocks	regret_ns	seed_ns	partition_ns	split_rebuild_ns	split_ns	reassignment_ns	rebuild_ns	exact_cost_ns	before_riff_bytes	candidate_riff_bytes	riff_delta	accepted	assignments_stable
p16-step	clic-validation-002	compact	27	48	49	34	77	86	26723	19201	4	1	534000	72792	87125	94375	788458	1616208	95209	872084	5288606	5284508	-4098	1	0
p16-step	clic-validation-002	compact	28	49	50	30	52	61	26090	17230	9	2	580292	259875	432708	119792	1392792	1794041	88334	886417	5284508	5276306	-8202	1	0
p16-step	clic-validation-002	compact	29	50	51	44	134	109	25065	21945	6	2	519583	147667	250459	100792	1018667	1725417	89583	903459	5276306	5271808	-4498	1	0
p16-step	clic-validation-002	compact	30	51	52	31	139	141	23826	29395	1	2	551000	54625	49084	101792	756625	1739291	109750	1085291	5271808	5269402	-2406	1	0
p16-step	clic-validation-002	compact	31	52	53	39	82	83	22868	18811	4	1	635708	66292	98084	99208	899375	1811584	103708	971708	5269402	5266002	-3400	1	0
p16-step	clic-validation-002	compact	32	53	54	42	13	15	22659	19855	2	1	544958	34375	32209	97125	708667	1707667	104750	962458	5266002	5261918	-4084	1	0
p16-step	clic-validation-002	compact	33	54	55	1	108	117	22285	18902	4	2	552000	110917	184792	85667	933458	1848625	88958	1100125	5261918	5257532	-4386	1	0
p16-step	clic-validation-002	compact	34	55	56	34	77	84	20947	11918	3	1	604416	49000	62667	96500	812625	1793917	91583	989167	5257532	5253894	-3638	1	0
p16-step	clic-validation-002	compact	35	56	57	8	75	69	20800	29542	2	2	572917	53125	70625	92834	789625	1753458	88750	1011708	5253894	5248378	-5516	1	0
p16-step	clic-validation-002	compact	36	57	58	39	82	64	19781	13308	2	2	730875	54000	62167	127292	974416	1891500	96542	1092458	5248378	5245802	-2576	1	0
p16-step	clic-validation-002	compact	37	58	59	44	134	119	19579	17245	3	3	625083	102166	176250	115125	1018708	1917500	89541	1018750	5245802	5239732	-6070	1	0
p16-step	clic-validation-002	compact	38	59	60	30	52	90	19371	8445	2	7	624625	176917	310083	89958	1201667	1875750	93916	1114792	5239732	5235046	-4686	1	0
p16-step	clic-validation-002	compact	39	60	61	37	131	103	18693	14758	3	2	639458	85708	134167	110459	969916	1924875	104167	1092875	5235046	5231240	-3806	1	0
p16-step	clic-validation-002	compact	40	61	62	4	27	30	18365	17215	2	2	613875	46625	59416	90542	810584	1924875	88083	1163667	5231240	5227726	-3514	1	0
p16-step	clic-validation-002	compact	41	62	63	0	78	97	18079	17517	3	2	779041	71500	110958	104875	1066500	2009500	99542	1127416	5227726	5224648	-3078	1	0
p16-step	clic-validation-002	compact	42	63	64	7	100	102	17032	20207	1	1	641667	26584	4666	100292	773333	1965292	97625	1135459	5224648	5222122	-2526	1	0
p16	clic-validation-002	low-latency	9437184	40	2750	5388542	9434830	168480	1249250	119666	59625	309375	305125	313250	27875	288583	2917	13272	13272	13272	13272	243480	48147655	6018457	6018478	13	48655542	6081943	6081964	13	48147655	6018457	6018478	13	46151232	5768904	5768924	16	7003512	5942826	E	Split	Split	5768924	2c8cef912c5c5eea	3	1	1	1
p16-step	clic-validation-002	low-latency	1	13	14	0	18	8	378872	310611	3	6	200750	170458	334166	28875	734375	329458	30750	493292	6018478	5904582	-113896	1	0
p16-step	clic-validation-002	low-latency	2	14	15	6	4	11	357804	425231	2	1	220041	44875	41417	36917	343333	329375	32125	317875	5904582	5804180	-100402	1	0
p16-step	clic-validation-002	low-latency	3	15	16	13	23	8	237264	209420	1	5	204792	120500	191625	28791	545750	330375	30125	324959	5804180	5768924	-35256	1	0
p16	clic-validation-003	compact	9437184	144	6583	4943250	9406614	304416	4118209	429292	161792	602500	598292	1404209	109417	581833	3917	40364	40364	40364	40364	619936	49003124	6125391	6125412	24	48781066	6097634	6097654	26	47573080	5946635	5946656	26	43996650	5499582	5499602	64	6632596	6050450	R	Split	Split	5499602	edafd8cd4efcf311	38	1	1	1
p16-step	clic-validation-003	compact	1	26	27	6	21	84	157762	152016	1	17	425792	483959	763167	88792	1761792	1366125	90542	640209	5946656	5912438	-34218	1	0
p16-step	clic-validation-003	compact	2	27	28	11	14	27	106116	105804	5	10	439625	254000	494459	97583	1285750	1368625	101750	659250	5912438	5884868	-27570	1	0
p16-step	clic-validation-003	compact	3	28	29	24	118	119	98152	95146	1	1	435958	29917	3666	105167	574750	1281000	88958	595542	5884868	5872356	-12512	1	0
p16-step	clic-validation-003	compact	4	29	30	2	126	71	91263	85692	3	9	417584	238042	415583	87208	1158500	1319542	87541	594542	5872356	5842852	-29504	1	0
p16-step	clic-validation-003	compact	5	30	31	4	65	64	86232	81675	2	6	456583	136958	258667	90916	943208	1319000	86583	622166	5842852	5827926	-14926	1	0
p16-step	clic-validation-003	compact	6	31	32	27	26	30	79042	79114	7	5	471250	204458	388958	106583	1171417	1476416	108334	723000	5827926	5817906	-10020	1	0
p16-step	clic-validation-003	compact	7	32	33	2	42	41	77816	73350	6	5	465125	152042	310916	83167	1011375	1339208	89292	652708	5817906	5789372	-28534	1	0
p16-step	clic-validation-003	compact	8	33	34	26	5	84	73772	69949	6	9	448458	289958	591292	84834	1414625	1446625	93834	711209	5789372	5773650	-15722	1	0
p16-step	clic-validation-003	compact	9	34	35	7	0	115	72997	67022	4	6	566667	206958	315708	100583	1190167	1593583	106541	747792	5773650	5761928	-11722	1	0
p16-step	clic-validation-003	compact	10	35	36	27	26	99	68861	41448	3	5	515250	143625	204083	88916	951958	1700792	87417	714375	5761928	5729690	-32238	1	0
p16-step	clic-validation-003	compact	11	36	37	1	107	52	67206	56595	1	7	467583	159250	275958	87625	990500	1549709	95959	827083	5729690	5721872	-7818	1	0
p16-step	clic-validation-003	compact	12	37	38	26	102	93	64009	51629	6	2	557375	158333	231458	106500	1053750	1678000	90208	858292	5721872	5712964	-8908	1	0
p16-step	clic-validation-003	compact	13	38	39	20	137	68	60476	56354	1	1	502875	25000	2666	99292	629917	1547542	90833	748291	5712964	5705920	-7044	1	0
