
running 1 test
phase_a	id	profile	width	height	pixels	tokens	literals	copies	caches	blocks	signature_differences	assignment_differences	ordered_groups	exact_groups	ordered_candidate_bytes	exact_candidate_bytes	candidate_byte_delta	ordered_product_bytes	exact_product_bytes	product_byte_delta	ordered_candidate_ns	exact_candidate_ns	ordered_product_ns	exact_product_ns	ordered_plan_ns	initialization_ns	update_ns	signature_cluster_ns	merge_ns	update_count	merge_updates	storage_bytes
phase_a	clic-validation-017	compact	1512	2016	3048192	2911361	2861257	50104	0	192	114	117	26	20	6691500	6840198	148698	6691500	6840198	148698	77998959	38836459	101932542	61549708	39185625	3750	8488958	390791	105500	11545236	33205	402816
phase_a	clic-validation-017	low-latency	1512	2016	3048192	2911361	2861257	50104	0	48	30	31	15	14	6719656	6845600	125944	6719656	6845600	125944	76640708	36482500	99017042	58509834	38733541	2042	8438542	99792	31625	11545236	11471	201408
phase_a	clic-validation-018	compact	1224	1632	1997568	1977130	1971003	6127	0	130	87	101	25	18	5115144	5000332	-114812	5115144	5000332	-114812	51307625	26561916	63784375	39016792	24891583	2666	5706542	267083	85500	7896266	33319	272740
phase_a	clic-validation-018	low-latency	1224	1632	1997568	1977130	1971003	6127	0	35	30	30	14	11	5118420	5034674	-83746	5118420	5034674	-83746	50540542	25014334	62768709	37213709	24653167	2042	5576625	76375	25708	7896266	11830	146860
phase_a	clic-validation-019	compact	1632	1224	1997568	1934222	1916208	18014	0	130	87	115	39	26	5039696	5087052	47356	5039696	5087052	47356	48539333	25717125	61792750	39232375	22145833	2458	5492792	277708	83500	7700860	39232	272740
phase_a	clic-validation-019	low-latency	1632	1224	1997568	1934222	1916208	18014	0	35	29	32	16	16	5108948	5107722	-1226	5108948	5107722	-1226	47128125	24100542	60107250	37465875	21725750	2375	5555458	71750	25209	7700860	13855	146860
phase_a	clic-validation-020	compact	2048	1153	2361344	2344169	2343250	919	0	160	117	142	41	30	6358216	6332178	-26038	6358216	6332178	-26038	54663625	30215958	67250042	43544583	22714958	3084	6341291	330250	113000	9374838	56244	335680
phase_a	clic-validation-020	low-latency	2048	1153	2361344	2344169	2343250	919	0	40	32	33	16	13	6430820	6393320	-37500	6430820	6393320	-37500	52955334	27858250	67053209	41314875	22494541	1709	6456292	84958	29333	9374838	18907	167840
phase_a	clic-validation-021	compact	1616	1212	1958592	1922833	1911280	11553	0	130	75	98	29	22	4565070	4742786	177716	4565070	4742786	177716	52362709	25315667	65087083	37611625	26556833	2542	5378833	267625	82708	7668226	25139	272740
phase_a	clic-validation-021	low-latency	1616	1212	1958592	1922833	1911280	11553	0	35	19	34	16	13	4693378	4818636	125258	4693378	4818636	125258	51290583	23989250	63363833	35831208	26200041	1334	5296709	70084	24125	7668226	9863	146860
phase_a	clic-validation-022	compact	1153	2048	2361344	2333856	2329641	4215	0	160	77	82	20	23	5628196	5588206	-39990	5628196	5588206	-39990	54849208	29467125	70143208	44326167	26314666	3333	6580708	336000	93542	9326994	26010	335680
phase_a	clic-validation-022	low-latency	1153	2048	2361344	2333856	2329641	4215	0	40	26	31	13	13	5628318	5598040	-30278	5628318	5598040	-30278	54111791	28327125	68598667	42685708	24219208	4542	6412083	80583	32459	9326994	9837	167840
phase_a	clic-validation-023	compact	2048	1153	2361344	2352824	2350134	2690	0	160	112	151	39	36	5856188	5789544	-66644	5856188	5789544	-66644	56890541	31188458	70940209	45157042	25319542	3916	6525708	331542	106583	9405916	38316	335680
phase_a	clic-validation-023	low-latency	2048	1153	2361344	2352824	2350134	2690	0	40	32	37	16	16	5979252	5834050	-145202	5979252	5834050	-145202	55680083	29358125	69786125	43196833	25968167	2167	6705375	89250	34583	9405916	12799	167840
phase_a	clic-validation-024	compact	1512	2016	3048192	2961766	2929749	32017	0	192	109	143	33	25	7349344	7362308	12964	7349344	7362308	12964	73924917	38517334	93512542	58535292	33904625	6750	8476375	401833	108667	11783030	44696	402816
